"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames"
"-1","-1","RDK","23","7601","0.0-1.0-22.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.15454545454544","[16.600000000000364,16.400000000000546,46.69999999999891,2.699999999999818,17.200000000000728,16.800000000000182,16.599999999999454,15.600000000000364,17.800000000000182,16.599999999999454,16.699999999999818]","11"
"-1","-1","RDK","24","7819","0.0-1.0-23.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909090925","[17.30000000000109,16.300000000000182,16.599999999999454,16.699999999999818,36,13.699999999999818,16.199999999999818,17.400000000000546,15.699999999999818,17.699999999999818,16.699999999999818]","11"
"-1","-1","RDK","25","8036","0.0-1.0-24.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.691666666666606","[24.899999999999636,15.399999999999636,9,17.600000000000364,16.699999999999818,16.699999999999818,16.700000000000728,16.600000000000364,16.699999999999818,16.699999999999818,16.599999999999454,16.699999999999818]","12"
"-1","-1","RDK","26","8253","0.0-1.0-25.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69999999999997","[18.200000000000728,14.799999999999272,17.200000000000728,15.799999999999272,17.600000000000364,16.599999999998545,15.900000000001455,17.5,16.799999999999272,16,17.100000000000364,16.899999999999636]","12"
"-1","-1","RDK","27","8470","0.0-1.0-26.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.218181818181787","[17.700000000000728,16.299999999999272,16.399999999999636,16.400000000001455,16.899999999999636,36.20000000000073,13.599999999998545,16.80000000000109,16.599999999998545,16.700000000000728,16.799999999999272]","11"
"-1","-1","RDK","28","8683","0.0-1.0-27.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.45","[18.099999999998545,36.20000000000073,13.5,16.69999999999891,16.600000000000364,16.700000000000728,16.700000000000728,16.600000000000364,16.69999999999891,16.700000000000728]","10"
"-1","-1","RDK","29","8886","0.0-1.0-28.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.641666666666726","[17.30000000000109,15.799999999997453,16.600000000000364,16.700000000000728,16.5,16.899999999999636,20.100000000000364,13.199999999998909,16.600000000000364,16.80000000000109,16.600000000000364,16.600000000000364]","12"
"-1","-1","RDK","30","9104","0.0-1.0-29.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69166666666676","[23.00000000000182,23.899999999999636,3.1999999999989086,15.899999999999636,17.700000000000728,16.600000000000364,16.099999999998545,17.200000000000728,16.5,16.900000000001455,16.700000000000728,16.599999999998545]","12"
"-1","-1","RDK","31","9317","0.0-1.0-30.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.790909090908993","[18.399999999999636,16.299999999999272,16.5,20.399999999997817,13,16.600000000000364,16.80000000000109,16.69999999999891,16.700000000000728,16.700000000000728,16.600000000000364]","11"
"-1","-1","RDK","32","9520","0.0-1.0-31.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.658333333333303","[16.600000000000364,16.49999999999818,16.700000000000728,16.700000000000728,16.69999999999891,16.600000000000364,16.700000000000728,19.19999999999891,14.100000000002183,16.69999999999709,16.600000000000364,16.80000000000109]","12"
"-1","-1","RDK","33","9735","0.0-1.0-32.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","19.99999999999982","[19.899999999999636,46.69999999999891,17.100000000000364,16.69999999999891,16.700000000000728,16.700000000000728,15.799999999999272,16.600000000000364,17.400000000001455,16.399999999997817]","10"
"-1","-1","RDK","34","9952","0.0-1.0-33.0","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","18.209090909090843","[17.200000000000728,16.299999999999272,16.799999999999272,37.70000000000073,12.200000000000728,16.69999999999891,16.80000000000109,16.69999999999891,16.600000000000364,16.69999999999891,16.600000000000364]","11"
"-1","-1","RDK","35","10168","0.0-1.0-34.0","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.69999999999997","[17.399999999999636,16.100000000000364,16.799999999999272,16.700000000000728,16.700000000000728,16.5,24.900000000001455,8.699999999998909,19.299999999999272,13.900000000001455,16.799999999999272,16.599999999998545]","12"
